view,bound,n_records,n_methods,n_unique_papers,n_clusters,process_method_weight,step_type_weight,sequence_weight,settings_weight,ari_vs_process_method,nmi_vs_process_method,silhouette_process_method,knn5_process_method_agreement,cross_paper_knn5_process_method_agreement,permutation_cross_paper_knn5_mean,permutation_cross_paper_knn5_q025,permutation_cross_paper_knn5_q975,permutation_one_sided_p,mean_within_method_distance,mean_between_method_distance,between_within_distance_ratio,pcoa_two_axis_positive_inertia_fraction,pcoa_negative_inertia_fraction,mean_uncertainty_width
method_blind_process,reported,120,3,93,3,0.0,0.3,0.45,0.25,0.0023187901712281617,0.059602317358558386,0.00044858554610982537,0.49333333333333335,0.4266666666666667,0.3282483333333333,0.2849583333333333,0.37333333333333335,0.000999000999000999,0.7286739945411682,0.7535344362258911,1.0341173719262164,0.3011219933733355,0.10259912878709722,0.055205337703228
method_aware_process,reported,120,3,93,3,0.25,0.2,0.3,0.25,0.9501152132178798,0.9289450857485844,0.29481256008148193,0.935,0.9316666666666666,0.327655,0.2816666666666667,0.375,0.000999000999000999,0.5590084791183472,0.8141123056411743,1.4563505493247078,0.3725082680405159,0.1347138823417292,0.055205337703228
