dataset,pair_count,median,minimum,maximum
HTEM,15,0.518652195708096,0.35141977548784464,0.8948855052389468
NanoMine,15,0.6471768995845957,0.1579768991155027,0.8466650246403061
Starrydata,3,0.3508157357959135,0.32723555599461907,0.8854338753752286
