dataset,view,metric,optimistic,reported,pessimistic,range,all_positive,sign_change
NanoMine,loading_focus_soft__equal__L0.25__K30,paper ARI gain vs material-only,0.019781174427056403,0.0369328110165249,0.00018660885468370011,0.0367462021618412,True,False
NanoMine,loading_focus_soft__equal__L0.25__K50,paper ARI gain vs material-only,0.1371614251235525,0.046057244101561284,0.0005407377798544999,0.136620687343698,True,False
NanoMine,loading_focus_soft__equal__L0.25__K80,paper ARI gain vs material-only,0.1026159982260838,0.16737742434444358,0.0035324959129713995,0.1638449284314722,True,False
NanoMine,loading_focus_soft__equal__L0.50__K8,paper ARI gain vs material-only,0.0407447124392819,0.0295029337670787,-0.0011454370008354001,0.0418901494401173,False,True
NanoMine,loading_focus_soft__equal__L0.50__K12,paper ARI gain vs material-only,0.053870629871318895,0.0779807374188345,-3.0713041196399945e-05,0.0780114504600309,False,True
NanoMine,loading_focus_soft__equal__L0.50__K20,paper ARI gain vs material-only,0.04130344241627561,0.08381722917816739,0.0003301783564574998,0.08348705082170989,True,False
NanoMine,loading_focus_soft__equal__L0.50__K30,paper ARI gain vs material-only,0.10608835421645949,0.0791149969017941,0.0049484970597427,0.10113985715671678,True,False
NanoMine,loading_focus_soft__equal__L0.50__K50,paper ARI gain vs material-only,0.25514937416150557,0.17580263259016737,0.0643579288996485,0.19079144526185707,True,False
NanoMine,loading_focus_soft__equal__L0.50__K80,paper ARI gain vs material-only,0.325792774569869,0.28149977145345584,0.2737834293935753,0.052009345176293686,True,False
NanoMine,loading_focus_soft__equal__L0.75__K8,paper ARI gain vs material-only,0.0425340889102256,0.0388273364344438,0.0415549818788103,0.0037067524757818035,True,False
NanoMine,loading_focus_soft__equal__L0.75__K12,paper ARI gain vs material-only,0.0220962741603615,0.052253831036579004,0.0473284493292732,0.030157556876217503,True,False
NanoMine,loading_focus_soft__equal__L0.75__K20,paper ARI gain vs material-only,0.0803480854834628,0.07614666305068649,0.0988906788544885,0.022744015803802017,True,False
NanoMine,loading_focus_soft__equal__L0.75__K30,paper ARI gain vs material-only,0.19945145458440738,0.1513446195404923,0.2531418434685317,0.10179722392803939,True,False
NanoMine,loading_focus_soft__equal__L0.75__K50,paper ARI gain vs material-only,0.2894532774204126,0.24649535265910322,0.4048679063511225,0.1583725536920193,True,False
NanoMine,loading_focus_soft__equal__L0.75__K80,paper ARI gain vs material-only,0.24189661868381618,0.34242309187532705,0.6744341203344303,0.4325375016506141,True,False
NanoMine,loading_focus_soft__equal__L1.00__K8,paper ARI gain vs material-only,0.0374394542809722,0.0425532048206057,0.0358617783169359,0.006691426503669801,True,False
NanoMine,loading_focus_soft__equal__L1.00__K12,paper ARI gain vs material-only,0.04280175056899051,0.0836355362350143,0.069123667350586,0.04083378566602379,True,False
NanoMine,loading_focus_soft__equal__L1.00__K20,paper ARI gain vs material-only,0.065114087464037,0.1434816755592701,0.16708917636475681,0.10197508890071981,True,False
NanoMine,loading_focus_soft__equal__L1.00__K30,paper ARI gain vs material-only,0.1156830000111019,0.2074403809952784,0.3383729018246403,0.2226899018135384,True,False
NanoMine,loading_focus_soft__equal__L1.00__K50,paper ARI gain vs material-only,0.2758916771562394,0.3433038435288741,0.4867614980734524,0.210869820917213,True,False
NanoMine,loading_focus_soft__equal__L1.00__K80,paper ARI gain vs material-only,0.23163439057116664,0.35740968416194974,0.755984327126208,0.5243499365550414,True,False
NanoMine,loading_focus_soft__method_type__L0.25__K8,paper ARI gain vs material-only,0.0010965344687412998,-0.00010055219617239979,0.0002927449422308998,0.0011970866649136996,False,True
NanoMine,loading_focus_soft__method_type__L0.25__K12,paper ARI gain vs material-only,0.008639593179491797,0.0657218349003167,0.0007906657812958,0.0649311691190209,True,False
NanoMine,loading_focus_soft__method_type__L0.25__K20,paper ARI gain vs material-only,-0.013811732984529798,0.0371314052719653,0.0003221508056969998,0.050943138256495095,False,True
NanoMine,loading_focus_soft__method_type__L0.25__K30,paper ARI gain vs material-only,0.011953403539327612,0.055059465256138,0.00034537463256699994,0.054714090623571,True,False
