record_id,paper_group,method_id,process_method,display_label,view,cluster,pcoa1,pcoa2
l325-s5-manafi-2015,article:l325,M1,Solution Processing,Solution processing,method_blind_process,1,0.11272543281312743,0.2520585406979914
l180-s3-maillard-2012,article:l180,M1,Solution Processing,Solution processing,method_blind_process,1,-0.23144454225090294,0.0966785623372251
l310-s5-chatterjee-2007,article:l310,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.20546308489219228,0.13075898053817947
l413-s3-botta-2018,article:l413,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.3541024183831649,-0.1245399769324208
l375-s4-rishi-2018,article:l375,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.3748627497564752,-0.15620338479803578
l252-s3-ameli-2014,article:l252,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.14474872975629627,-0.1076181011697194
l154-s3-eitan-2005,article:l154,M1,Solution Processing,Solution processing,method_blind_process,1,0.23855573759768067,0.00048111321891503646
l376-s6-carroll-2017,article:l376,M1,Solution Processing,Solution processing,method_blind_process,1,0.30634976498098193,-0.006982932395205103
l111-s4-singha-2009,article:l111,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.2557423237291638,-0.06195854971157746
l179-s5-ramanathan-2007,article:l179,M1,Solution Processing,Solution processing,method_blind_process,1,0.15563416562825433,-0.15204909230900793
l221-s4-dai-2008,article:l221,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.2269033342670547,-0.22832409606953022
l208-s5-li-2012,article:l208,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.10875576413696486,-0.2976101912857486
l209-s7-ash-2001,article:l209,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.4627861377757575,-0.12467731333677722
l136-s5-vescovo-2010,article:l136,M1,Solution Processing,Solution processing,method_blind_process,1,0.05775753182946673,-0.1424784028861341
l259-s2-chen-2017,article:l259,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.13268794034998044,0.14944420507952957
l314-s4-diezpascual-2011,article:l314,M1,Solution Processing,Solution processing,method_blind_process,1,0.08908477897947263,-0.1340053073752719
l282-s3-cui-2008,article:l282,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.2023691213101381,-0.030546898556237687
l118-s1-fidelus-2005,article:l118,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.17411941523391739,0.12248935820762659
l278-s2-choi-2001,article:l278,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.20654668837499515,-0.13287565388669453
l146-s4-tao-2011,article:l146,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,2,0.1785678984075971,-0.07895102700200245
l132-s4-holt-2014,article:l132,M1,Solution Processing,Solution processing,method_blind_process,1,0.2647275922352949,-0.1302781679497826
l137-s8-yang-2014,article:l137,M1,Solution Processing,Solution processing,method_blind_process,1,0.15521939260224982,-0.009272468425229278
l271-s15-sun-2004,article:l271,M1,Solution Processing,Solution processing,method_blind_process,1,-0.3720717713232237,-0.1282321032574149
l266-s8-kalaitzidou-2007,article:l266,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.1562687502381819,-0.1089847604342828
l261-s2-wang-2016,article:l261,M1,Solution Processing,Solution processing,method_blind_process,1,-0.014520169770369427,0.20690009876637983
l377-s4-wanasekara-2017,article:l377,M1,Solution Processing,Solution processing,method_blind_process,1,0.06941892328994434,-0.1353101345098783
