record_id,paper_group,system_id,system_label,view,cluster,pcoa1,pcoa2
l271-s3-sun-2004,article:l271,S5,DGEBA epoxy / SiO2,material_identity,2,0.27346443558331035,-0.17753260373131552
l180-s5-maillard-2012,article:l180,S6,PS / SiO2,material_identity,4,0.3354718649126793,0.0028675805097594176
l389-s8-natarajan-2013,article:l389,S1,PMMA / SiO2,material_identity,1,0.23185909025774568,0.21065540331275925
l209-s12-ash-2001,article:l209,S2,PMMA / Al2O3,material_identity,1,0.027249634298073106,0.41317139632495936
l217-s6-ash-2002,article:l217,S2,PMMA / Al2O3,material_identity,1,-0.05677851538087519,0.3689550672683019
l118-s9-fidelus-2005,article:l118,S3,DGEBA epoxy / MWCNT,material_identity,3,-0.25202694857242786,-0.2180911128673127
l171-s27-rittigstein-2006,article:l171,S1,PMMA / SiO2,material_identity,1,0.091440995672321,0.1430861455221514
l154-s6-eitan-2005,article:l154,S4,PC / MWCNT,material_identity,3,-0.27189914996952996,-0.022935026341758237
l154-s4-eitan-2005,article:l154,S4,PC / MWCNT,material_identity,3,-0.1901429272156272,-0.04574366619662274
l217-s3-ash-2002,article:l217,S2,PMMA / Al2O3,material_identity,1,-0.056778515380875146,0.3689550672683019
l389-s6-natarajan-2013,article:l389,S6,PS / SiO2,material_identity,4,0.28374367557805763,0.012480050853278501
l389-s3-natarajan-2013,article:l389,S6,PS / SiO2,material_identity,4,0.14871953764568513,-0.024454269177128514
l204-s4-bansal-2005,article:l204,S6,PS / SiO2,material_identity,4,0.14977176826228983,-0.03415929169994703
l203-s6-ma-2009,article:l203,S3,DGEBA epoxy / MWCNT,material_identity,3,-0.2459922187023041,-0.21033538098885587
l118-s4-fidelus-2005,article:l118,S3,DGEBA epoxy / MWCNT,material_identity,3,-0.2520269485724278,-0.21809111286731264
l217-s4-ash-2002,article:l217,S2,PMMA / Al2O3,material_identity,1,-0.0567785153808752,0.368955067268302
