mp_id,mi-eff N,mi-eff P,Seebeck,Powerfactor
mp-1,,,,
mp-10,,,,
mp-100,,,,
mp-1000,0.3862625894457432,0.6370163832870913,453.41826,839.4328582436801
mp-10000,0.10661872798977186,,,
mp-10003,0.10448154478515984,,,
mp-10004,0.08404509454214656,,,
mp-10006,0.19237721481348133,,,
mp-10008,0.28689737757721523,,,
mp-10009,0.31985618396931553,0.5502065003998672,384.01696,788.9009627872705
mp-1001,0.1376215081557209,,,
mp-10013,1.381840970185899,,,
mp-10015,0.08950902095970939,,,
mp-10021,0.17082840118319956,,,
mp-10024,0.1986596356961976,,,
mp-10025,0.18282983765943392,,,
mp-10026,0.32014178773368696,,,
mp-10027,0.04246512860681364,,,
mp-10030,0.10255480667125313,,,
mp-10032,0.06831062967177523,,,
mp-10033,0.12578689905364504,,,
mp-10037,0.06567197372860405,,,
mp-10038,0.15295265514090423,,,
mp-10039,0.11134497053581081,,,
mp-10040,0.1204829533961053,,,
mp-10041,0.1819410118865606,,,
mp-10044,0.3134446343554795,0.29535757310967753,397.50296,1502.5405607132202
mp-10045,0.2347646423125502,,,
mp-10046,0.20093093937232068,,,
mp-10047,0.17065514454793976,,,
mp-10048,0.15039234777710725,,,
mp-10049,0.22387855734115472,,,
mp-1005,0.20601283991614064,,,
mp-10051,0.15228696012535115,,,
mp-10052,0.06133642552952768,,,
mp-10055,0.1545239724508536,,,
mp-10057,0.20298289660004648,,,
mp-10060,0.16890840844102625,,,
mp-10061,0.1846524102813408,,,
mp-10062,0.854780883988953,,,
mp-10063,0.10585453844499848,,,
mp-10064,0.2521352836264397,1.0410309064904033,552.02152,812.8751914995365
mp-10065,0.19011496780256096,,,
mp-10068,0.17506623376720373,,,
mp-10069,0.2024682339294821,,,
mp-1007,0.15658101300881422,,,
mp-10070,0.577131644440444,40.99257102970424,581.1281333333333,12.25509190126528
mp-10074,0.8606921327316457,0.9584897333643787,569.2965666666668,538.3017500332713
mp-10076,26.443255216382983,,,
mp-10078,0.19943470082993825,,,
mp-10079,0.41931881789885667,,,
mp-1008,0.054893135660875475,,,
mp-10080,0.5456126035178939,3.365854347604844,549.14695,232.57464138179697
mp-10086,0.4128645244671627,0.67262691555745,492.31676666666664,852.5949678920202
mp-10087,0.061398572015023925,,,
mp-10089,0.292110983667771,,,
mp-1009,0.13804739913241637,,,
mp-10091,4.1455229105576965,1.1700884539166927,495.2679933333333,403.9735455639749
mp-10093,6.192382951012895,,,
mp-10096,0.2685270628791282,0.6206941765120316,399.0452066666667,421.58931208526695
mp-10097,0.11374809069504238,,,
mp-10098,0.16276529271656204,,,
mp-1010,1.5141910495948365,,,
mp-10101,0.5124852035495987,1.7103095935918688,592.1878433333333,532.5631414041001
mp-10102,0.5959789070885928,1.4713908550269166,549.42994,548.9052331673431
mp-10103,0.5484895129783017,18.89452397072803,737.5634566666666,55.34411930920693
mp-10105,0.16466557296336617,,,
mp-10106,0.1005864976208515,,,
mp-10108,0.15367988645990055,,,
mp-10112,0.4362924283902127,,,
mp-10113,0.04590523367236204,,,
mp-10114,1.1192693567902319,,,
mp-10117,0.10111488670379859,,,
mp-10120,0.14940750144505133,,,
mp-10123,0.17645069063060728,,,
mp-10124,0.13644101316812104,,,
mp-10125,0.1810754436353977,,,
mp-10126,0.08762768080729369,,,
mp-10128,0.22837843958140125,,,
mp-10129,0.24233742394610597,,,
mp-10130,0.015293672112964798,,,
mp-10131,0.05163034278729775,,,
mp-10132,0.12944057354578134,,,
mp-10133,0.09307498794409057,,,
mp-10134,0.16808441497368398,,,
mp-10136,0.37000371834038126,,,
mp-10137,0.43021476814179904,,,
mp-10138,0.1863399038518655,,,
mp-10139,0.14249642038681448,,,
mp-1014,0.1810865830430807,,,
mp-10140,5.731565062914215,,,
mp-10144,0.16691346413876712,,,
mp-10145,0.15520494419619854,,,
mp-10148,1.7061157952960064,,,
mp-10149,0.29568789694035846,,,
mp-1015,9.363037935945709,,,
mp-10152,0.10950300560834081,,,
mp-10155,0.9604253632010609,0.4426680007449842,433.62322666666665,1122.1490732094105
mp-10159,0.1273953858204409,5.2227667983574895,689.0878900000001,255.51331884249322
mp-10161,0.14425757222009394,,,
mp-10162,0.1593259560370726,,,
mp-10163,0.30766442001375943,0.6147586445938539,478.2366333333334,943.315973941551
mp-10164,0.2049318890153257,0.4563574952303092,192.13962833333335,273.2603615422972
mp-10165,0.3773606971609352,0.6972135970713905,487.9764133333333,824.5127047023798
mp-10166,0.19701592118581213,0.9399299005137607,498.96134,757.3049560791269
mp-1017,0.2832967519711586,,,
mp-10172,0.5704095082485425,,,
mp-10173,0.16209876014544602,,,
mp-10175,0.4588579654227126,1.0759822714993788,556.69922,761.304103848178
mp-10177,0.3221393292391311,,,
mp-10178,0.12134041065763006,,,
mp-10179,0.30952726044977347,,,
mp-10182,0.3340349116074324,0.40425470398970526,432.41844,1311.851950220335
mp-10185,0.058649534787263355,,,
mp-10186,0.1284348276777641,,,
mp-10187,0.4890906161226182,,,
mp-10188,0.31952904535172766,,,
mp-1019,0.12714464069005268,,,
mp-10191,0.36144886018831596,0.9561734251654868,487.71101,661.7964357639725
mp-10194,0.08685168901387282,,,
mp-10195,0.12597022436241564,,,
mp-10197,0.2103489663073932,,,
mp-10198,0.6201123749279754,,,
mp-10199,0.06044048937929004,,,
mp-1020,0.027317620309958494,,,
mp-10200,0.132542505668383,,,
mp-10201,0.014026233418698698,,,
mp-10203,0.27267838077671813,,,
mp-10204,0.3847860415675534,,,
mp-10208,0.44971444870560234,,,
mp-10209,0.020932941586355436,,,
mp-10212,0.09826818145010527,,,
mp-10213,0.9160905081868831,,,
mp-10219,0.5458230356596817,1.7960145297907628,633.7451733333332,584.5116693713741
mp-1022,0.3698192258047246,16.402776952318295,753.62999,94.67397399928223
