material_profile,process_profile,process_lambda,bound,requested_clusters,mean_pair_distance,mean_same_paper_distance,mean_cross_paper_distance,mean_interval_width,same_paper_cocluster,cross_paper_cocluster,same_paper_recall_lift,same_paper_precision,same_paper_precision_lift,paper_ari,paper_nmi,actual_clusters,largest_cluster_fraction,shared_author_pair_count,shared_author_cocluster,shared_author_lift,same_location_pair_count,same_location_cocluster,same_location_lift
identity_strict,equal,0.0,optimistic,8,0.687466025352478,0.1283249706029892,0.6956469416618347,0.20730875432491302,0.9879638916750251,0.9355905738294331,1.0559788857547212,0.015215128007884063,1.0551271598422245,0.0016115465898599286,0.07711520063284102,8,0.9675480769230769,8437,0.9775986725139267,1.046092726704708,92,1.0,1.0688634780371162
identity_strict,equal,0.0,optimistic,12,0.687466025352478,0.1283249706029892,0.6956469416618347,0.20730875432491302,0.9656970912738214,0.3707012688172674,2.6050547233218397,0.03671558009701333,2.546124208067627,0.0441851981549587,0.4085012960674949,12,0.5012019230769231,8437,0.4720872347990992,1.2824035011374837,92,1.0,2.6988273512399967
identity_strict,equal,0.0,optimistic,20,0.687466025352478,0.1283249706029892,0.6956469416618347,0.20730875432491302,0.9003009027081244,0.15949587773802432,5.644665652029512,0.07628760836308006,5.290335217790035,0.11718476922938552,0.6129936124933831,20,0.2704326923076923,8437,0.26277112717790685,1.67505061893356,92,0.8913043478260869,5.5951934325870605
identity_strict,equal,0.0,optimistic,30,0.687466025352478,0.1283249706029892,0.6956469416618347,0.20730875432491302,0.886258776328987,0.11893657674686171,7.451524170022592,0.09830666874346365,6.817296320549731,0.1550463259895017,0.6867836406567733,30,0.25,8437,0.24937774090316464,2.1567906369467744,92,0.8260869565217391,6.956780800639806
identity_strict,equal,0.0,optimistic,50,0.687466025352478,0.1283249706029892,0.6956469416618347,0.20730875432491302,0.8541624874623872,0.11253525715342329,7.590176706113333,0.09995305164319249,6.931468433469422,0.157203757354962,0.724666936820135,50,0.25,8437,0.2489036387341472,2.2819989972062804,92,0.782608695652174,6.96554458595108
identity_strict,equal,0.0,optimistic,80,0.687466025352478,0.1283249706029892,0.6956469416618347,0.20730875432491302,0.7993981945837513,0.07720032520229755,10.354855274106546,0.1315702588483888,9.124034544203132,0.20629620909196195,0.7898948460979038,80,0.23557692307692307,8437,0.2312433329382482,3.1552294353122323,92,0.782608695652174,10.162456303775985
identity_strict,equal,0.0,reported,8,0.8708984851837158,0.1619073897600174,0.8812718391418457,0.20730875432491302,0.999197592778335,0.9308270058788827,1.0734514431442577,0.01546298940780569,1.0723156642569298,0.0021138620846606255,0.08587593047840328,8,0.9651442307692307,8437,0.9632570819011497,1.0357563479937046,92,1.0,1.0743350438888382
identity_strict,equal,0.0,reported,12,0.8708984851837158,0.1619073897600174,0.8812718391418457,0.20730875432491302,0.999197592778335,0.9073232152762899,1.1012587090853487,0.01585719925123203,1.09965302955946,0.0029117973647823994,0.12120545913056047,12,0.953125,8437,0.9506933744221879,1.0490734083860533,92,1.0,1.1021734839488357
identity_strict,equal,0.0,reported,20,0.8708984851837158,0.1619073897600174,0.8812718391418457,0.20730875432491302,0.9027081243731193,0.2330508847674422,3.873437877199726,0.053633362335077414,3.719325742384538,0.07609972300678246,0.5533907576508609,20,0.3954326923076923,8437,0.35711745881237406,1.5533557600395704,92,0.9565217391304348,4.107791442487166
identity_strict,equal,0.0,reported,30,0.8708984851837158,0.1619073897600174,0.8812718391418457,0.20730875432491302,0.8649949849548646,0.1452580045845306,5.954886874764237,0.08014422987565749,5.557781282065253,0.12356321867806855,0.6455510540182913,30,0.25600961538461536,8437,0.2583856821144957,1.8146909627552144,92,0.782608695652174,5.394107353535033
identity_strict,equal,0.0,reported,50,0.8708984851837158,0.1619073897600174,0.8812718391418457,0.20730875432491302,0.8567703109327984,0.12611274657994606,6.793685286916419,0.09041258282351447,6.26986323605971,0.14115970492250357,0.7179277528785669,50,0.25600961538461536,8437,0.24854806210738414,2.0206517772667407,92,0.782608695652174,6.21436477304056
