profile,bound,requested_clusters,mean_interval_width,same_paper_cocluster,cross_paper_cocluster,same_paper_recall_lift,same_paper_precision,same_paper_precision_lift,paper_ari,paper_nmi,actual_clusters,largest_cluster_fraction,shared_author_pair_count,shared_author_cocluster,shared_author_lift,same_location_pair_count,same_location_cocluster,same_location_lift
strict_equal,optimistic,8,0.0,0.9958660603555188,0.9782224691706127,1.018036378984287,0.00810288545466471,1.0178902322713603,0.0002870639691746097,0.026908615044589967,8,0.9891205802357208,11563,0.9946380697050938,1.0171147944543626,311,1.0,1.0222740952103062
strict_equal,optimistic,12,0.0,0.9712691194708557,0.7652239536253037,1.2692612598826765,0.010082306292697999,1.2665464853877815,0.004267313613027219,0.1633435499318059,12,0.8703535811423391,11563,0.8091325780506788,1.058567790232993,311,0.9967845659163987,1.30280848610141
strict_equal,optimistic,20,0.0,0.9280694501860273,0.31602298831510245,2.9367150001779656,0.023022689398795027,2.8921266122748808,0.02985910520746252,0.42349338348617077,20,0.40253853127833183,11563,0.48854103606330535,1.5625829903730284,311,0.77491961414791,2.4539379022144003
strict_equal,optimistic,30,0.0,0.8927242662257131,0.12581707205825032,7.09541441095055,0.05386898822590301,6.767060603815055,0.08791187464528871,0.5955979209561942,30,0.21940163191296463,11563,0.2854795468304073,2.3267393596291837,311,0.77491961414791,6.175540350772153
strict_equal,optimistic,50,0.0,0.8040512608515916,0.05138369421891975,15.647984697751367,0.11155721250358475,14.01389635607506,0.18452907538881005,0.7309025942348527,50,0.15231187669990934,11563,0.18671625010810344,3.831061654138551,311,0.7234726688102894,14.17550070283712
strict_equal,optimistic,80,0.0,0.795163290615957,0.04904505610243567,16.21291428345349,0.115121046174103,14.46158767578537,0.1898570000048673,0.750779436137949,80,0.15231187669990934,11563,0.18282452650696185,3.9377057619079583,311,0.7234726688102894,14.856620348125938
strict_equal,reported,8,0.0,0.9958660603555188,0.9782224691706127,1.018036378984287,0.00810288545466471,1.0178902322713603,0.0002870639691746097,0.026908615044589967,8,0.9891205802357208,11563,0.9946380697050938,1.0171147944543626,311,1.0,1.0222740952103062
strict_equal,reported,12,0.0,0.9712691194708557,0.7652239536253037,1.2692612598826765,0.010082306292697999,1.2665464853877815,0.004267313613027219,0.1633435499318059,12,0.8703535811423391,11563,0.8091325780506788,1.058567790232993,311,0.9967845659163987,1.30280848610141
strict_equal,reported,20,0.0,0.9280694501860273,0.31602298831510245,2.9367150001779656,0.023022689398795027,2.8921266122748808,0.02985910520746252,0.42349338348617077,20,0.40253853127833183,11563,0.48854103606330535,1.5625829903730284,311,0.77491961414791,2.4539379022144003
strict_equal,reported,30,0.0,0.8927242662257131,0.12581707205825032,7.09541441095055,0.05386898822590301,6.767060603815055,0.08791187464528871,0.5955979209561942,30,0.21940163191296463,11563,0.2854795468304073,2.3267393596291837,311,0.77491961414791,6.175540350772153
strict_equal,reported,50,0.0,0.8040512608515916,0.05138369421891975,15.647984697751367,0.11155721250358475,14.01389635607506,0.18452907538881005,0.7309025942348527,50,0.15231187669990934,11563,0.18671625010810344,3.831061654138551,311,0.7234726688102894,14.17550070283712
