control,condition,repeat,k,same_paper_cocluster,cross_paper_cocluster,same_paper_recall_lift,same_paper_precision,same_paper_precision_lift,paper_ari,paper_nmi,actual_clusters,largest_cluster_fraction,shared_author_pair_count,shared_author_cocluster,shared_author_lift,same_location_pair_count,same_location_cocluster,same_location_lift
sequence_order_shuffle,original,-1,20,0.9574724172517552,0.20673826204613294,4.631326624183861,0.06346146175426468,4.400877328505974,0.09454288553411287,0.6099913296240183,20,0.35216346153846156,8437,0.3610288017067678,1.7800404210932244,92,0.782608695652174,3.788355047954237
sequence_order_shuffle,original,-1,50,0.9568706118355065,0.07347576098218138,13.02294251933719,0.16004563145886458,11.098723091836238,0.2558380343177956,0.8083257125124077,50,0.22355769230769232,8437,0.21168661846627948,3.0255488413740776,92,0.782608695652174,10.679087865729823
sequence_order_shuffle,shuffled,0,20,0.9358074222668004,0.1883032834278905,4.969681915425345,0.0677835575833309,4.7006027527236025,0.10226856690503676,0.6192296982617361,20,0.3401442307692308,8437,0.3340049780727747,1.8093084348318873,92,0.782608695652174,4.15965344939296
sequence_order_shuffle,shuffled,0,50,0.9061183550651956,0.05314474730783567,17.050007780008716,0.1996552333804809,13.845539730932543,0.3109272599944349,0.8163527181245929,50,0.18990384615384615,8437,0.16439492710679152,3.2669952158781124,92,0.782608695652174,14.78078133098685
sequence_order_shuffle,shuffled,1,20,0.9566700100300902,0.19040183616026485,5.024478909041838,0.06847977484527792,4.7488834994810825,0.10368747216475194,0.6197381267037699,20,0.33653846153846156,8437,0.33922010193196633,1.8176748935549456,92,0.782608695652174,4.1137560386473435
sequence_order_shuffle,shuffled,1,50,0.9165496489468405,0.07288288314730079,12.575650267490616,0.15540287745314785,10.776760907531273,0.24718374462733408,0.79946265337698,50,0.2403846153846154,8437,0.22176128955789973,3.209159475918365,92,0.782608695652174,10.766211280466392
sequence_order_shuffle,shuffled,2,20,0.9452357071213641,0.1620669717150312,5.83237717789538,0.07862506257300184,5.452431219907009,0.12179160012083383,0.6284883873085763,20,0.27163461538461536,8437,0.2733199004385445,1.7163799629255545,92,0.8913043478260869,5.506297077266648
sequence_order_shuffle,shuffled,2,50,0.9169508525576731,0.05366718421183936,17.08587595984563,0.19999124956247813,13.868841526329074,0.31207708397790007,0.8178134824699281,50,0.18990384615384615,8437,0.16380229939551974,3.219975461713715,92,0.782608695652174,14.636325223980005
sequence_order_shuffle,shuffled,3,20,0.9374122367101304,0.157790620203046,5.940861601937189,0.07997056508197282,5.54573810763845,0.124093270142169,0.6387645023494287,20,0.27163461538461536,8437,0.2733199004385445,1.7649809852942753,92,0.8913043478260869,5.655753565680692
sequence_order_shuffle,shuffled,3,50,0.9113340020060181,0.05442442421876605,16.744945216926734,0.19678593086719223,13.646561515960858,0.3072480383907721,0.8124025380792569,50,0.19110576923076922,8437,0.16842479554343961,3.268495532905084,92,0.782608695652174,14.431887353383564
sequence_order_shuffle,shuffled,4,20,0.9376128385155467,0.15796672253023825,5.935508590020074,0.07990426532182238,5.541140402144976,0.12397819818716999,0.6385346233701277,20,0.27163461538461536,8437,0.2733199004385445,1.7629252955123156,92,0.8913043478260869,5.649438874042574
