policy,mask,n_pairs,containment_fraction,width_shrank_fraction,mean_width,mean_common_fraction,mean_structural_fraction,mean_excluded_variable_count,sparse_zero_pairs
active,unilateral,300,0.8433333333333334,0.07,0.41801027201650615,0.07841409593209482,0.5035756320513991,0.77,0
active,bilateral,300,0.8433333333333334,0.03,0.564169085143995,0.06344404514632175,0.3723868697096832,2.2533333333333334,0
active,article_block,300,0.89,0.03,0.5413718823908338,0.04646413177752187,0.4121639858316444,1.84,0
fixed_schema,unilateral,300,1.0,0.0,0.695416861817768,0.04074325761051011,0.26383988057172203,91.83333333333333,0
fixed_schema,bilateral,300,1.0,0.0,0.7960425593569058,0.027868781460237777,0.17608865918285643,91.83333333333333,0
fixed_schema,article_block,300,1.0,0.0,0.7779373404436791,0.021622284313675914,0.20044037524264507,91.83333333333333,0
