pair,mask,policy,original_lower,original_upper,lower,upper,reported,interval_contains_original_interval,width_shrank,common_reported_fraction,structural_difference_fraction,excluded_weight,sparse_zero
245,bilateral,active,0.6451612903225806,0.967741935483871,0.2,1.0,1.0,True,False,0.0,0.2,1.0,False
245,article_block,active,0.6451612903225806,0.967741935483871,0.3793103448275862,1.0,1.0,True,False,0.0,0.3793103448275862,2.0,False
245,unilateral,fixed_schema,0.5,0.975,0.425,1.0,1.0,True,False,0.0,0.425,81.0,False
245,bilateral,fixed_schema,0.5,0.975,0.15,1.0,1.0,True,False,0.0,0.15,81.0,False
245,article_block,fixed_schema,0.5,0.975,0.275,1.0,1.0,True,False,0.0,0.275,81.0,False
246,unilateral,active,0.8461538461538461,1.0,0.46153846153846156,1.0,1.0,True,False,0.0,0.46153846153846156,0.0,False
246,bilateral,active,0.8461538461538461,1.0,0.3076923076923077,1.0,1.0,True,False,0.0,0.3076923076923077,0.0,False
246,article_block,active,0.8461538461538461,1.0,0.46153846153846156,1.0,1.0,True,False,0.0,0.46153846153846156,0.0,False
246,unilateral,fixed_schema,0.36666666666666664,1.0,0.2,1.0,1.0,True,False,0.0,0.2,91.0,False
246,bilateral,fixed_schema,0.36666666666666664,1.0,0.13333333333333333,1.0,1.0,True,False,0.0,0.13333333333333333,91.0,False
246,article_block,fixed_schema,0.36666666666666664,1.0,0.2,1.0,1.0,True,False,0.0,0.2,91.0,False
247,unilateral,active,1.0,1.0,0.6923076923076923,1.0,1.0,True,False,0.0,0.6923076923076923,0.0,False
247,bilateral,active,1.0,1.0,0.7692307692307693,1.0,1.0,True,False,0.0,0.7692307692307693,0.0,False
247,article_block,active,1.0,1.0,0.38461538461538464,1.0,1.0,True,False,0.0,0.38461538461538464,0.0,False
247,unilateral,fixed_schema,0.5,1.0,0.34615384615384615,1.0,1.0,True,False,0.0,0.34615384615384615,95.0,False
247,bilateral,fixed_schema,0.5,1.0,0.38461538461538464,1.0,1.0,True,False,0.0,0.38461538461538464,95.0,False
247,article_block,fixed_schema,0.5,1.0,0.19230769230769232,1.0,1.0,True,False,0.0,0.19230769230769232,95.0,False
248,unilateral,active,0.5950611919602647,0.75295592880237,0.3150336029528144,0.8150336029528144,0.6300672059056288,True,False,0.25,0.25,3.0,False
248,bilateral,active,0.5950611919602647,0.75295592880237,0.23169018908893071,0.8031187605175021,0.540610441207505,True,False,0.21428571428571427,0.21428571428571427,5.0,False
248,article_block,active,0.5950611919602647,0.75295592880237,0.0625,1.0,1.0,True,False,0.0,0.0625,3.0,False
248,unilateral,fixed_schema,0.376872088241501,0.8435387549081678,0.16801792157483436,0.9013512549081677,0.6300672059056288,True,False,0.13333333333333333,0.13333333333333333,91.0,False
248,bilateral,fixed_schema,0.376872088241501,0.8435387549081678,0.108122088241501,0.9081220882415011,0.540610441207505,True,False,0.1,0.1,91.0,False
248,article_block,fixed_schema,0.376872088241501,0.8435387549081678,0.03333333333333333,1.0,1.0,True,False,0.0,0.03333333333333333,91.0,False
249,unilateral,active,0.5833333333333334,1.0,0.3333333333333333,1.0,1.0,True,False,0.0,0.3333333333333333,0.0,False
249,bilateral,active,0.5833333333333334,1.0,0.7142857142857143,1.0,1.0,False,True,0.0,0.7142857142857143,5.0,False
249,article_block,active,0.5833333333333334,1.0,0.5555555555555556,1.0,1.0,True,False,0.0,0.5555555555555556,3.0,False
249,unilateral,fixed_schema,0.3333333333333333,1.0,0.19047619047619047,1.0,1.0,True,False,0.0,0.19047619047619047,100.0,False
249,bilateral,fixed_schema,0.3333333333333333,1.0,0.23809523809523808,1.0,1.0,True,False,0.0,0.23809523809523808,100.0,False
249,article_block,fixed_schema,0.3333333333333333,1.0,0.23809523809523808,1.0,1.0,True,False,0.0,0.23809523809523808,100.0,False
250,unilateral,active,0.3986846131933327,0.8769454827585501,0.317990097194205,0.8969374656152577,0.7552264808362369,True,False,0.21052631578947367,0.21052631578947367,4.0,False
250,bilateral,active,0.3986846131933327,0.8769454827585501,0.25,0.9375,0.8,True,False,0.1875,0.125,7.0,False
250,article_block,active,0.3986846131933327,0.8769454827585501,0.2631578947368421,1.0,1.0,True,False,0.15789473684210525,0.10526315789473684,4.0,False
250,unilateral,fixed_schema,0.24783097576882843,0.9235066514445042,0.16329221207269987,0.9470759958564837,0.7552264808362369,True,False,0.10810810810810811,0.10810810810810811,84.0,False
250,bilateral,fixed_schema,0.24783097576882843,0.9235066514445042,0.10810810810810811,0.972972972972973,0.8,True,False,0.08108108108108109,0.05405405405405406,84.0,False
250,article_block,fixed_schema,0.24783097576882843,0.9235066514445042,0.13513513513513514,1.0,1.0,True,False,0.08108108108108109,0.05405405405405406,84.0,False
251,unilateral,active,0.6809895833333334,0.9309895833333334,0.6363636363636364,1.0,1.0,True,False,0.0,0.6363636363636364,2.0,False
251,bilateral,active,0.6809895833333334,0.9309895833333334,0.2222222222222222,1.0,1.0,True,False,0.0,0.2222222222222222,6.0,False
251,article_block,active,0.6809895833333334,0.9309895833333334,0.6519886363636364,0.9247159090909091,0.896484375,False,False,0.09090909090909091,0.6363636363636364,2.0,False
251,unilateral,fixed_schema,0.40859375,0.95859375,0.35,1.0,1.0,True,False,0.0,0.35,81.0,False
251,bilateral,fixed_schema,0.40859375,0.95859375,0.1,1.0,1.0,True,False,0.0,0.1,81.0,False
251,article_block,fixed_schema,0.40859375,0.95859375,0.35859375,0.95859375,0.896484375,True,False,0.05,0.35,81.0,False
252,unilateral,active,1.0,1.0,0.5384615384615384,1.0,1.0,True,False,0.0,0.5384615384615384,0.0,False
252,bilateral,active,1.0,1.0,0.6923076923076923,1.0,1.0,True,False,0.07692307692307693,0.6153846153846154,0.0,False
252,article_block,active,1.0,1.0,0.9230769230769231,1.0,1.0,True,False,0.0,0.9230769230769231,0.0,False
252,unilateral,fixed_schema,0.4642857142857143,1.0,0.25,1.0,1.0,True,False,0.0,0.25,93.0,False
252,bilateral,fixed_schema,0.4642857142857143,1.0,0.32142857142857145,1.0,1.0,True,False,0.03571428571428571,0.2857142857142857,93.0,False
252,article_block,fixed_schema,0.4642857142857143,1.0,0.42857142857142855,1.0,1.0,True,False,0.0,0.42857142857142855,93.0,False
253,unilateral,active,0.6842105263157895,1.0,0.6875,1.0,1.0,False,True,0.0,0.6875,3.0,False
253,bilateral,active,0.6842105263157895,1.0,0.5333333333333333,1.0,1.0,True,False,0.0,0.5333333333333333,4.0,False
253,article_block,active,0.6842105263157895,1.0,0.4375,1.0,1.0,True,False,0.0,0.4375,3.0,False
253,unilateral,fixed_schema,0.34210526315789475,1.0,0.2894736842105263,1.0,1.0,True,False,0.0,0.2894736842105263,83.0,False
253,bilateral,fixed_schema,0.34210526315789475,1.0,0.21052631578947367,1.0,1.0,True,False,0.0,0.21052631578947367,83.0,False
253,article_block,fixed_schema,0.34210526315789475,1.0,0.18421052631578946,1.0,1.0,True,False,0.0,0.18421052631578946,83.0,False
254,unilateral,active,0.7272727272727273,1.0,0.5238095238095238,1.0,1.0,True,False,0.047619047619047616,0.47619047619047616,1.0,False
254,bilateral,active,0.7272727272727273,1.0,0.4,1.0,1.0,True,False,0.0,0.4,2.0,False
254,article_block,active,0.7272727272727273,1.0,0.5,1.0,1.0,True,False,0.0,0.5,4.0,False
254,unilateral,fixed_schema,0.37209302325581395,1.0,0.2558139534883721,1.0,1.0,True,False,0.023255813953488372,0.23255813953488372,78.0,False
254,bilateral,fixed_schema,0.37209302325581395,1.0,0.18604651162790697,1.0,1.0,True,False,0.0,0.18604651162790697,78.0,False
254,article_block,fixed_schema,0.37209302325581395,1.0,0.20930232558139536,1.0,1.0,True,False,0.0,0.20930232558139536,78.0,False
255,unilateral,active,0.8979648400380107,0.8979648400380107,0.7047830218561926,0.9775102945834653,0.9690766550522648,True,False,0.09090909090909091,0.6363636363636364,0.0,False
255,bilateral,active,0.8979648400380107,0.8979648400380107,0.6252375673107381,0.8979648400380107,0.8597016550522648,True,False,0.18181818181818182,0.5454545454545454,0.0,False
255,article_block,active,0.8979648400380107,0.8979648400380107,0.18181818181818182,1.0,1.0,True,False,0.0,0.18181818181818182,0.0,False
255,unilateral,fixed_schema,0.37990820155454297,0.95683127847762,0.2981774323237738,0.9904851246314661,0.9690766550522648,True,False,0.038461538461538464,0.2692307692307692,95.0,False
255,bilateral,fixed_schema,0.37990820155454297,0.95683127847762,0.26452358616992766,0.95683127847762,0.8597016550522648,True,False,0.07692307692307693,0.23076923076923078,95.0,False
