left_id,right_id,support
l242-s6-narayanan-2006,l174-s22-ramanathan-2008,0.800000011920929
l242-s6-narayanan-2006,l174-s23-ramanathan-2008,0.800000011920929
l242-s7-narayanan-2006,l174-s12-ramanathan-2008,0.800000011920929
l242-s7-narayanan-2006,l174-s19-ramanathan-2008,0.800000011920929
l316-s1-chandrasekaran-2013,l318-s2-patsidis-2014,0.800000011920929
l316-s1-chandrasekaran-2013,l318-s5-patsidis-2014,0.800000011920929
l316-s10-chandrasekaran-2013,l325-s2-manafi-2015,0.800000011920929
l316-s10-chandrasekaran-2013,l325-s4-manafi-2015,0.800000011920929
l316-s3-chandrasekaran-2013,l318-s2-patsidis-2014,0.800000011920929
l316-s3-chandrasekaran-2013,l318-s4-patsidis-2014,0.800000011920929
l316-s3-chandrasekaran-2013,l318-s5-patsidis-2014,0.800000011920929
l316-s5-chandrasekaran-2013,l318-s2-patsidis-2014,0.800000011920929
l316-s5-chandrasekaran-2013,l318-s4-patsidis-2014,0.800000011920929
l316-s5-chandrasekaran-2013,l318-s5-patsidis-2014,0.800000011920929
l316-s6-chandrasekaran-2013,l318-s2-patsidis-2014,0.800000011920929
l316-s6-chandrasekaran-2013,l318-s5-patsidis-2014,0.800000011920929
l316-s7-chandrasekaran-2013,l325-s2-manafi-2015,0.800000011920929
l316-s7-chandrasekaran-2013,l325-s4-manafi-2015,0.800000011920929
l316-s9-chandrasekaran-2013,l325-s4-manafi-2015,0.800000011920929
l318-s3-patsidis-2014,l316-s1-chandrasekaran-2013,0.800000011920929
l318-s3-patsidis-2014,l316-s3-chandrasekaran-2013,0.800000011920929
l318-s3-patsidis-2014,l316-s5-chandrasekaran-2013,0.800000011920929
l318-s3-patsidis-2014,l316-s6-chandrasekaran-2013,0.800000011920929
l318-s4-patsidis-2014,l316-s1-chandrasekaran-2013,0.800000011920929
l318-s4-patsidis-2014,l316-s6-chandrasekaran-2013,0.800000011920929
l325-s2-manafi-2015,l316-s8-chandrasekaran-2013,0.800000011920929
l325-s2-manafi-2015,l316-s9-chandrasekaran-2013,0.800000011920929
l325-s3-manafi-2015,l316-s10-chandrasekaran-2013,0.800000011920929
l325-s3-manafi-2015,l316-s7-chandrasekaran-2013,0.800000011920929
l325-s3-manafi-2015,l316-s8-chandrasekaran-2013,0.800000011920929
l325-s3-manafi-2015,l316-s9-chandrasekaran-2013,0.800000011920929
l325-s4-manafi-2015,l316-s8-chandrasekaran-2013,0.800000011920929
l325-s5-manafi-2015,l316-s10-chandrasekaran-2013,0.800000011920929
l325-s5-manafi-2015,l316-s7-chandrasekaran-2013,0.800000011920929
l325-s5-manafi-2015,l316-s8-chandrasekaran-2013,0.800000011920929
l325-s5-manafi-2015,l316-s9-chandrasekaran-2013,0.800000011920929
