view,bound,n_records,n_systems,n_unique_papers,n_clusters,ari_vs_exact_material_system,nmi_vs_exact_material_system,silhouette_exact_material_system,knn5_material_system_agreement,cross_paper_knn5_material_system_agreement,mean_within_system_distance,mean_between_system_distance,between_within_distance_ratio,pcoa_two_axis_positive_inertia_fraction,pcoa_negative_inertia_fraction,mean_uncertainty_width
material_identity,reported,72,6,22,6,0.6645628500027362,0.8310046176870586,0.5453413724899292,0.9805555555555555,0.8972222222222223,0.14173883199691772,0.4602360427379608,3.247070942054674,0.6041061896875815,0.1806873337011453,0.49514439702033997
balanced_instance,reported,72,6,22,6,0.18644544808823726,0.4526484874505346,0.2034643143415451,0.7055555555555556,0.425,0.4241779148578644,0.6181750893592834,1.4573485976195262,0.3484498762026369,0.06326370715463585,0.2849251329898834
