record_id,paper_group,method_id,process_method,display_label,view,cluster,pcoa1,pcoa2
l325-s5-manafi-2015,article:l325,M1,Solution Processing,Solution processing,method_blind_process,1,0.11551563921528121,0.25048086072802545
l180-s3-maillard-2012,article:l180,M1,Solution Processing,Solution processing,method_blind_process,1,-0.23042482693414415,0.10379920610085858
l310-s5-chatterjee-2007,article:l310,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.2042762126537414,0.13822234409741813
l413-s3-botta-2018,article:l413,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.3519797551203612,-0.13372764057529563
l375-s4-rishi-2018,article:l375,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.3779957746508193,-0.155608252810576
l252-s3-ameli-2014,article:l252,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.15910344922252137,-0.1227055803524218
l154-s3-eitan-2005,article:l154,M1,Solution Processing,Solution processing,method_blind_process,1,0.23833231269674068,-0.004849753420617015
l376-s6-carroll-2017,article:l376,M1,Solution Processing,Solution processing,method_blind_process,1,0.3078548921634204,-0.013109785008455391
l111-s4-singha-2009,article:l111,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.2532201771701056,-0.06146352395667511
l179-s5-ramanathan-2007,article:l179,M1,Solution Processing,Solution processing,method_blind_process,1,0.15009380988672177,-0.15062282203820643
l221-s4-dai-2008,article:l221,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.23441055839684544,-0.2211888505623588
l208-s5-li-2012,article:l208,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.10053365470625307,-0.2976038703518858
l209-s7-ash-2001,article:l209,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.4607738758368483,-0.13583416516732189
l136-s5-vescovo-2010,article:l136,M1,Solution Processing,Solution processing,method_blind_process,1,0.05548878729501128,-0.14562874901968656
l259-s2-chen-2017,article:l259,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.1319603062692326,0.15632984389932808
l314-s4-diezpascual-2011,article:l314,M1,Solution Processing,Solution processing,method_blind_process,1,0.08433181003053984,-0.13227849423853358
l282-s3-cui-2008,article:l282,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.19975140677365472,-0.03492596454375177
l118-s1-fidelus-2005,article:l118,M2,Melt Mixing,Melt mixing,method_blind_process,1,0.1750935950842535,0.12202274758401405
l278-s2-choi-2001,article:l278,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.20150664700046686,-0.13317425707053981
l146-s4-tao-2011,article:l146,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,2,0.1823915142073439,-0.08506273652365248
l132-s4-holt-2014,article:l132,M1,Solution Processing,Solution processing,method_blind_process,1,0.26376049154612,-0.13826928266331365
l137-s8-yang-2014,article:l137,M1,Solution Processing,Solution processing,method_blind_process,1,0.1533657225244676,-0.012682814663778467
l271-s15-sun-2004,article:l271,M1,Solution Processing,Solution processing,method_blind_process,1,-0.37127311406739355,-0.12530638626716156
l266-s8-kalaitzidou-2007,article:l266,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.1648947370898419,-0.1201214288414531
l261-s2-wang-2016,article:l261,M1,Solution Processing,Solution processing,method_blind_process,1,-0.00912789798141022,0.2087286217663277
l377-s4-wanasekara-2017,article:l377,M1,Solution Processing,Solution processing,method_blind_process,1,0.06784562834513944,-0.13841703980170372
l318-s3-patsidis-2014,article:l318,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.19822192055712978,0.3453979396539856
l375-s1-rishi-2018,article:l375,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.3777759847529705,-0.15535954609253197
l146-s3-tao-2011,article:l146,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,2,0.182391514207344,-0.08506273652365251
l304-s3-stockelhuber-2011,article:l304,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.31820829586181526,0.2067122070842015
l229-s7-bao-2011,article:l229,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.1151116425457986,0.39485596976594867
l316-s3-chandrasekaran-2013,article:l316,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.16460931622726818,0.3922671341573584
l120-s11-murugaraj-2005,article:l120,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.5171802382257119,-0.14181068880023529
l297-s1-shen-2004,article:l297,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.09409493794783345,0.1942357930143168
l267-s3-kim-2006,article:l267,M1,Solution Processing,Solution processing,method_blind_process,1,-0.23894364514520416,0.3350674787785293
l279-s1-motaung-2012,article:l279,M2,Melt Mixing,Melt mixing,method_blind_process,1,-0.3089412202963911,-0.29774356932944746
l302-s3-bandyopadhyay-2005,article:l302,M1,Solution Processing,Solution processing,method_blind_process,1,0.025934971306151553,-0.1106291852002741
l396-s4-ghosh-2013,article:l396,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.005964350088189996,0.3361411662910148
l297-s2-shen-2004,article:l297,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.09409493794783348,0.19423579301431687
l287-s3-jang-2008,article:l287,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,0.26379971197957125,0.2639671789698437
l129-s12-wu-2011,article:l129,M1,Solution Processing,Solution processing,method_blind_process,1,-0.30867548429833674,-0.09003119930413961
l191-s2-xie-2004,article:l191,M3,In-Situ Polymerization,In-situ polymerization,method_blind_process,1,-0.1598482862114677,-0.17260453411984475
