view,bound,n_records,n_methods,n_unique_papers,n_clusters,process_method_weight,step_type_weight,sequence_weight,settings_weight,ari_vs_process_method,nmi_vs_process_method,silhouette_process_method,knn5_process_method_agreement,cross_paper_knn5_process_method_agreement,permutation_cross_paper_knn5_mean,permutation_cross_paper_knn5_q025,permutation_cross_paper_knn5_q975,permutation_one_sided_p,mean_within_method_distance,mean_between_method_distance,between_within_distance_ratio,pcoa_two_axis_positive_inertia_fraction,pcoa_negative_inertia_fraction,mean_uncertainty_width
method_blind_process,reported,120,3,93,3,0.0,0.3,0.45,0.25,0.0023187901712281617,0.059602317358558386,0.001008884166367352,0.48,0.42333333333333334,0.32804999999999995,0.2833333333333333,0.37333333333333335,0.000999000999000999,0.7286856770515442,0.7540489435195923,1.034806868402676,0.3011775262943425,0.10180327618527348,0.04828057065606117
method_aware_process,reported,120,3,93,3,0.25,0.2,0.3,0.25,0.9501152132178798,0.9289450857485844,0.2951594591140747,0.935,0.9316666666666666,0.32766166666666663,0.2816666666666667,0.375,0.000999000999000999,0.5590201616287231,0.8146268129348755,1.4572404876443708,0.373634963813345,0.1337948025052591,0.04828057065606117
