contrast,article_macro_difference,ci_low,ci_high,n_article_groups,bootstrap_replicates
balanced_strict - random_gallery,0.08075333312712574,0.032733745341888665,0.1293714696028588,93,10000
balanced_strict - equal_facets,-0.017009728622631847,-0.05369726062467998,0.019498463901689706,93,10000
balanced_strict - gower_field_pool,-0.012224782386072698,-0.05734863031233998,0.03401177675371224,93,10000
