policy,mask,n_pairs,containment_fraction,width_shrank_fraction,mean_width,mean_common_fraction,mean_structural_fraction,mean_excluded_variable_count,sparse_zero_pairs,n_effectively_masked_pairs,containment_among_effectively_masked
active,unilateral,300,0.87,0.03666666666666667,0.4240344203754113,0.07149469592012422,0.5044708837044645,0.7533333333333333,0,280,0.8607142857142858
active,bilateral,300,0.5733333333333334,0.0,0.22993221420992843,0.07614968876102372,0.6939180970290478,1.2333333333333334,0,186,0.3118279569892473
active,article_block,300,0.8966666666666666,0.023333333333333334,0.5929403814406642,0.043890247584784006,0.3631693709745519,1.99,0,299,0.8963210702341137
fixed_schema,unilateral,300,1.0,0.0,0.69882474026289,0.03729724184017166,0.2638780178969383,91.83333333333333,0,280,1.0
fixed_schema,bilateral,300,1.0,0.0,0.6099850854393835,0.03690893265064407,0.35310598190997244,91.83333333333333,0,186,1.0
fixed_schema,article_block,300,1.0,0.0,0.8016542906789034,0.020612741242793726,0.17773296807830283,91.83333333333333,0,299,1.0
