view,mask_fraction,distance_threshold,rule,eligible_pairs,accepted_pairs,contradictory_pairs,reference_close_pairs,retained_reference_close_pairs,n_article_groups,n_query_runs,retained_fraction,retained_fraction_ci_low,retained_fraction_ci_high,contradiction_fraction,contradiction_fraction_ci_low,contradiction_fraction_ci_high,reference_close_recall,reference_close_recall_ci_low,reference_close_recall_ci_high
balanced_instance,0.5,0.3,coverage_0.75,42666,0,0,147,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.5,0.3,interval_upper,42666,0,0,147,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.5,0.3,reported_point,42666,136,33,147,103,93,360,0.00318754980546571,0.0020851987406854027,0.004393697287248743,0.2426470588235294,0.1320754716981132,0.3813615075825156,0.7006802721088435,0.5489607843137255,0.8518888888888889
balanced_instance,0.5,0.4,coverage_0.5,42666,253,69,480,184,93,360,0.005929780152814887,0.004335107485104183,0.007566253671469832,0.2727272727272727,0.17446122168840084,0.3936686621551275,0.38333333333333336,0.27394293924466334,0.49112970362970365
balanced_instance,0.5,0.4,coverage_0.75,42666,0,0,480,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.5,0.4,interval_upper,42666,0,0,480,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.5,0.4,reported_point,42666,489,114,480,375,93,360,0.011461116579946562,0.009211137032176932,0.013876696307242083,0.2331288343558282,0.1649127543686024,0.3082361786819991,0.78125,0.7151384347067801,0.843400447427293
balanced_instance,0.5,0.5,coverage_0.5,42666,1095,121,1950,974,93,360,0.025664463507242302,0.020430346051464064,0.03143738578068035,0.11050228310502283,0.08338185797851858,0.14171175628447516,0.49948717948717947,0.43198655890533094,0.5603992883736274
balanced_instance,0.5,0.5,coverage_0.75,42666,0,0,1950,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.5,0.5,interval_upper,42666,6,0,1950,6,93,360,0.0001406271972999578,0.0,0.0003635306092773012,0.0,0.0,0.0,0.003076923076923077,0.0,0.008488964346349746
balanced_instance,0.5,0.5,reported_point,42666,1753,221,1950,1532,93,360,0.04108657947780434,0.03457314556577341,0.04766024734100691,0.12606959498003423,0.09479822948112322,0.16143287132070758,0.7856410256410257,0.7527655437844701,0.8197061204205465
balanced_instance,0.75,0.1,coverage_0.5,42666,6,0,12,6,93,360,0.0001406271972999578,0.0,0.0003635306092773012,0.0,0.0,0.0,0.5,0.0,1.0
balanced_instance,0.75,0.1,coverage_0.75,42666,0,0,12,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.75,0.1,interval_upper,42666,0,0,12,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.75,0.1,reported_point,42666,11,0,12,11,93,360,0.000257816528383256,4.574670051922505e-05,0.0005243045927561544,0.0,0.0,0.0,0.9166666666666666,0.6666666666666666,1.0
balanced_instance,0.75,0.2,coverage_0.5,42666,16,9,42,7,93,360,0.00037500585946655417,7.0876745339854e-05,0.0007797020026964546,0.5625,0.27102272727272725,1.0,0.16666666666666666,0.0,0.4336111111111109
balanced_instance,0.75,0.2,coverage_0.75,42666,0,0,42,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.75,0.2,interval_upper,42666,0,0,42,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.75,0.2,reported_point,42666,36,11,42,25,93,360,0.0008437631837997469,0.000405085016448122,0.0013329743200093094,0.3055555555555556,0.11357323232323233,0.5238392857142857,0.5952380952380952,0.3808035714285714,0.875
balanced_instance,0.75,0.3,coverage_0.5,42666,57,16,147,41,93,360,0.0013359583743495992,0.0005666556558147009,0.0022249932761192206,0.2807017543859649,0.14285714285714285,0.5429220779220778,0.2789115646258503,0.10142876674870113,0.4483784893267651
balanced_instance,0.75,0.3,coverage_0.75,42666,0,0,147,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.75,0.3,interval_upper,42666,0,0,147,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.75,0.3,reported_point,42666,149,53,147,96,93,360,0.0034922420662822857,0.002363273182046301,0.004702514491705993,0.35570469798657717,0.24,0.5,0.6530612244897959,0.524774023084411,0.7971014492753623
balanced_instance,0.75,0.4,coverage_0.5,42666,214,96,480,118,93,360,0.005015703370365162,0.0035792637622424858,0.006541860345575237,0.4485981308411215,0.32905701754385963,0.5893924991358451,0.24583333333333332,0.15696746971553013,0.33863095238095237
balanced_instance,0.75,0.4,coverage_0.75,42666,0,0,480,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.75,0.4,interval_upper,42666,0,0,480,0,93,360,0.0,0.0,0.0,,,,0.0,0.0,0.0
balanced_instance,0.75,0.4,reported_point,42666,505,203,480,302,93,360,0.011836122439413116,0.009610406823128973,0.01431906768272789,0.401980198019802,0.31816970343089745,0.49267466110531805,0.6291666666666667,0.5586663004028901,0.7069488197963749
balanced_instance,0.75,0.5,coverage_0.5,42666,761,195,1950,566,93,360,0.017836216190877982,0.013806469927563902,0.0221308838754594,0.25624178712220763,0.21082684749942207,0.31075642410788396,0.29025641025641025,0.24197495224416632,0.33817188667336473
