view,mask_fraction,distance_threshold,rule,eligible_pairs,accepted_pairs,contradictory_pairs,reference_close_pairs,retained_reference_close_pairs,n_article_groups,n_query_runs,retained_fraction,retained_fraction_ci_low,retained_fraction_ci_high,contradiction_fraction,contradiction_fraction_ci_low,contradiction_fraction_ci_high,reference_close_recall,reference_close_recall_ci_low,reference_close_recall_ci_high
experimental_protocol,0.0,0.3,reported_point,14222,88,0,88,88,93,120,0.006187596681198144,0.0040389460398136436,0.008725828484581158,0.0,0.0,0.0,1.0,1.0,1.0
experimental_protocol,0.0,0.4,coverage_0.5,14222,178,0,178,178,93,120,0.012515820559696245,0.009363797846701742,0.016099952437773676,0.0,0.0,0.0,1.0,1.0,1.0
experimental_protocol,0.0,0.4,coverage_0.75,14222,22,0,178,22,93,120,0.001546899170299536,0.000622453899914447,0.0027459517436376,0.0,0.0,0.0,0.12359550561797752,0.0523492037521815,0.20330410607356714
experimental_protocol,0.0,0.4,interval_upper,14222,42,0,178,42,93,120,0.002953171143299114,0.0016263735889605112,0.004500798266621051,0.0,0.0,0.0,0.23595505617977527,0.14434895833333333,0.3333756345177664
experimental_protocol,0.0,0.4,reported_point,14222,178,0,178,178,93,120,0.012515820559696245,0.009363797846701742,0.016099952437773676,0.0,0.0,0.0,1.0,1.0,1.0
experimental_protocol,0.0,0.5,coverage_0.5,14222,516,0,516,516,93,120,0.036281816903389115,0.029736420385931828,0.04338880659322795,0.0,0.0,0.0,1.0,1.0,1.0
experimental_protocol,0.0,0.5,coverage_0.75,14222,42,0,516,42,93,120,0.002953171143299114,0.001293236979077687,0.00490191142346794,0.0,0.0,0.0,0.08139534883720931,0.039763886269332326,0.12469541034958674
experimental_protocol,0.0,0.5,interval_upper,14222,132,0,516,132,93,120,0.009281395021797216,0.006761669332557801,0.011784299497065455,0.0,0.0,0.0,0.2558139534883721,0.2046299448738473,0.30253955708963043
experimental_protocol,0.0,0.5,reported_point,14222,516,0,516,516,93,120,0.036281816903389115,0.029736420385931828,0.04338880659322795,0.0,0.0,0.0,1.0,1.0,1.0
material_identity,0.0,0.1,coverage_0.5,14222,0,0,343,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.1,coverage_0.75,14222,0,0,343,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.1,interval_upper,14222,0,0,343,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.1,reported_point,14222,343,0,343,343,93,120,0.024117564336942766,0.016043304052685368,0.03255003016732776,0.0,0.0,0.0,1.0,1.0,1.0
material_identity,0.0,0.2,coverage_0.5,14222,0,0,358,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.2,coverage_0.75,14222,0,0,358,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.2,interval_upper,14222,0,0,358,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.2,reported_point,14222,358,0,358,358,93,120,0.025172268316692448,0.016945491750275453,0.0337238095145614,0.0,0.0,0.0,1.0,1.0,1.0
material_identity,0.0,0.3,coverage_0.5,14222,0,0,832,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.3,coverage_0.75,14222,0,0,832,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.3,interval_upper,14222,0,0,832,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.3,reported_point,14222,832,0,832,832,93,120,0.05850091407678245,0.04623890093659951,0.0704942767466992,0.0,0.0,0.0,1.0,1.0,1.0
material_identity,0.0,0.4,coverage_0.5,14222,0,0,1184,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.4,coverage_0.75,14222,0,0,1184,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.4,interval_upper,14222,0,0,1184,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.4,reported_point,14222,1184,0,1184,1184,93,120,0.08325130080157503,0.06919507555650216,0.09751879294594748,0.0,0.0,0.0,1.0,1.0,1.0
material_identity,0.0,0.5,coverage_0.5,14222,0,0,1478,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.5,coverage_0.75,14222,0,0,1478,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.5,interval_upper,14222,0,0,1478,0,93,120,0.0,0.0,0.0,,,,0.0,0.0,0.0
material_identity,0.0,0.5,reported_point,14222,1478,0,1478,1478,93,120,0.10392349880466882,0.08746138149520147,0.11980128339563813,0.0,0.0,0.0,1.0,1.0,1.0
