pair,mask,policy,original_lower,original_upper,lower,upper,reported,interval_contains_original_interval,width_shrank,common_reported_fraction,structural_difference_fraction,excluded_weight,sparse_zero
0,unilateral,active,0.7692307692307693,0.9230769230769231,0.75,1.0,1.0,True,False,0.0,0.75,1.0,False
0,bilateral,active,0.7692307692307693,0.9230769230769231,0.8333333333333334,1.0,1.0,False,False,0.0,0.8333333333333334,1.0,False
0,article_block,active,0.7692307692307693,0.9230769230769231,0.4166666666666667,0.9166666666666666,0.8333333333333334,False,False,0.08333333333333333,0.4166666666666667,1.0,False
0,unilateral,fixed_schema,0.43478260869565216,0.9565217391304348,0.391304347826087,1.0,1.0,True,False,0.0,0.391304347826087,98.0,False
0,bilateral,fixed_schema,0.43478260869565216,0.9565217391304348,0.43478260869565216,1.0,1.0,True,False,0.0,0.43478260869565216,98.0,False
0,article_block,fixed_schema,0.43478260869565216,0.9565217391304348,0.21739130434782608,0.9565217391304348,0.8333333333333334,True,False,0.043478260869565216,0.21739130434782608,98.0,False
1,unilateral,active,0.7177299193104713,0.9282562350999449,0.5677083333333334,0.9565972222222222,0.9289772727272727,True,False,0.05555555555555555,0.5555555555555556,1.0,False
1,bilateral,active,0.7177299193104713,0.9282562350999449,0.71875,0.9540441176470589,0.9399038461538461,False,False,0.058823529411764705,0.7058823529411765,2.0,False
1,article_block,active,0.7177299193104713,0.9282562350999449,0.375,1.0,1.0,True,False,0.0625,0.3125,3.0,False
1,unilateral,fixed_schema,0.34966329402305013,0.9650479094076655,0.2620192307692308,0.9799679487179487,0.9289772727272727,True,False,0.02564102564102564,0.2564102564102564,82.0,False
1,bilateral,fixed_schema,0.34966329402305013,0.9650479094076655,0.31330128205128205,0.9799679487179487,0.9399038461538461,True,False,0.02564102564102564,0.3076923076923077,82.0,False
1,article_block,fixed_schema,0.34966329402305013,0.9650479094076655,0.15384615384615385,1.0,1.0,True,False,0.02564102564102564,0.1282051282051282,82.0,False
2,unilateral,active,0.8965706950302585,0.9492022739776269,0.7386759581881532,0.9492022739776269,0.9356562137049942,True,False,0.10526315789473684,0.6842105263157895,0.0,False
2,bilateral,active,0.8965706950302585,0.9492022739776269,0.9444444444444444,1.0,1.0,False,False,0.05555555555555555,0.8888888888888888,1.0,False
2,article_block,active,0.8965706950302585,0.9492022739776269,0.6686024003097173,0.9463801780874951,0.9257571696596086,False,False,0.05555555555555555,0.6666666666666666,1.0,False
2,unilateral,fixed_schema,0.501024800163968,0.9716130354580857,0.4127895060463209,0.9716130354580857,0.9356562137049942,True,False,0.058823529411764705,0.38235294117647056,87.0,False
2,bilateral,fixed_schema,0.501024800163968,0.9716130354580857,0.5,1.0,1.0,True,False,0.029411764705882353,0.47058823529411764,87.0,False
2,article_block,fixed_schema,0.501024800163968,0.9716130354580857,0.35396597663455626,0.9716130354580857,0.9257571696596086,True,False,0.029411764705882353,0.35294117647058826,87.0,False
3,unilateral,active,0.7925882442054235,0.9230230268141192,0.3967391304347826,0.9619565217391305,0.9125,True,False,0.043478260869565216,0.391304347826087,0.0,False
3,bilateral,active,0.7925882442054235,0.9230230268141192,0.8145014103202257,0.9573585531773686,0.9502516453735966,False,False,0.047619047619047616,0.8095238095238095,2.0,False
3,article_block,active,0.7925882442054235,0.9230230268141192,0.5271739130434783,0.9619565217391305,0.9326923076923077,True,False,0.043478260869565216,0.5217391304347826,0.0,False
3,unilateral,fixed_schema,0.4446226735786522,0.9568177955298717,0.2225609756097561,0.9786585365853658,0.9125,True,False,0.024390243902439025,0.21951219512195122,80.0,False
3,bilateral,fixed_schema,0.4446226735786522,0.9568177955298717,0.4171836491884083,0.9781592589445058,0.9502516453735966,True,False,0.024390243902439025,0.4146341463414634,80.0,False
3,article_block,fixed_schema,0.4446226735786522,0.9568177955298717,0.29573170731707316,0.9786585365853658,0.9326923076923077,True,False,0.024390243902439025,0.2926829268292683,80.0,False
4,unilateral,active,0.875,1.0,0.8333333333333334,1.0,1.0,True,False,0.0,0.8333333333333334,0.0,False
4,bilateral,active,0.875,1.0,0.8695652173913043,1.0,1.0,True,False,0.0,0.8695652173913043,1.0,False
4,article_block,active,0.875,1.0,0.5217391304347826,1.0,1.0,True,False,0.043478260869565216,0.4782608695652174,1.0,False
4,unilateral,fixed_schema,0.4666666666666667,1.0,0.4444444444444444,1.0,1.0,True,False,0.0,0.4444444444444444,76.0,False
4,bilateral,fixed_schema,0.4666666666666667,1.0,0.4444444444444444,1.0,1.0,True,False,0.0,0.4444444444444444,76.0,False
4,article_block,fixed_schema,0.4666666666666667,1.0,0.26666666666666666,1.0,1.0,True,False,0.022222222222222223,0.24444444444444444,76.0,False
5,unilateral,active,0.7058823529411765,1.0,0.7058823529411765,1.0,1.0,True,False,0.058823529411764705,0.6470588235294118,0.0,False
5,bilateral,active,0.7058823529411765,1.0,0.6875,1.0,1.0,True,False,0.0,0.6875,1.0,False
5,article_block,active,0.7058823529411765,1.0,0.0,1.0,,True,False,0.0,0.0,4.0,False
5,unilateral,fixed_schema,0.375,1.0,0.375,1.0,1.0,True,False,0.03125,0.34375,89.0,False
5,bilateral,fixed_schema,0.375,1.0,0.34375,1.0,1.0,True,False,0.0,0.34375,89.0,False
