pair,left,right,replicate,mask,eligible_joint_reported_keys,masked_left_keys,masked_right_keys,bilateral_keys_match
7,l278-s2-choi-2001,l318-s3-patsidis-2014,0,bilateral,"[""mixing#0:mixing method"", ""mixing#0:rotational frequency"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time""]","[""mixing#0:rotational frequency"", ""mixing#0:time"", ""mixing#1:mixing method""]","[""mixing#0:rotational frequency"", ""mixing#0:time"", ""mixing#1:mixing method""]",True
7,l278-s2-choi-2001,l318-s3-patsidis-2014,0,article_block,"[""mixing#0:mixing method"", ""mixing#0:rotational frequency"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time""]","[""drying evaporation#0:time"", ""drying evaporation#1:temperature"", ""drying evaporation#1:time"", ""mixing#0:rotational frequency"", ""mixing#0:time"", ""mixing#1:temperature"", ""mixing#1:time"", ""mixing#2:temperature"", ""mixing#2:time"", ""molding#0:pressure"", ""solvent#0:solvent name""]","[""mixing#0:mixing method"", ""mixing#1:mixing method""]",
8,l221-s8-dai-2008,l325-s5-manafi-2015,0,unilateral,"[""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method""]","[""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time"", ""molding#0:temperature""]",[],
8,l221-s8-dai-2008,l325-s5-manafi-2015,0,bilateral,"[""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method""]",[],[],True
8,l221-s8-dai-2008,l325-s5-manafi-2015,0,article_block,"[""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method""]","[""mixing#0:chemical used"", ""molding#0:temperature""]","[""drying evaporation#0:ambient condition"", ""drying evaporation#0:time"", ""heating#0:time"", ""mixing#0:time"", ""mixing#2:time"", ""mixing#3:time""]",
9,l262-s5-oyarzabal-2016,l397-s1-tuncer-2007,0,unilateral,[],"[""mixing#0:mixer"", ""mixing#0:temperature""]",[],
9,l262-s5-oyarzabal-2016,l397-s1-tuncer-2007,0,bilateral,[],[],[],True
9,l262-s5-oyarzabal-2016,l397-s1-tuncer-2007,0,article_block,[],"[""mixing#0:temperature"", ""molding#0:temperature""]","[""curing#0:ambient condition"", ""curing#0:temperature""]",
10,l200-s4-schoch-2008,l221-s4-dai-2008,0,unilateral,"[""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time""]","[""mixing#0:temperature"", ""mixing#1:time"", ""mixing#2:mixing method""]",[],
10,l200-s4-schoch-2008,l221-s4-dai-2008,0,bilateral,"[""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time""]","[""mixing#0:mixing method"", ""mixing#1:time""]","[""mixing#0:mixing method"", ""mixing#1:time""]",True
10,l200-s4-schoch-2008,l221-s4-dai-2008,0,article_block,"[""mixing#0:mixing method"", ""mixing#0:time"", ""mixing#1:mixing method"", ""mixing#1:time""]","[""mixing#0:time"", ""mixing#1:time""]","[""mixing#0:chemical used"", ""molding#0:temperature""]",
11,e410-s2-prasad-2021,l294-s6-sarwar-2007,0,unilateral,"[""drying evaporation#0:temperature"", ""mixing#0:mixing method""]","[""drying evaporation#0:time"", ""extrusion output#0:equipment type"", ""extrusion output#0:melt temperature""]",[],
11,e410-s2-prasad-2021,l294-s6-sarwar-2007,0,bilateral,"[""drying evaporation#0:temperature"", ""mixing#0:mixing method""]","[""drying evaporation#0:temperature""]","[""drying evaporation#0:temperature""]",True
